acctno,qty,trandate,tran_channel,price,totamt,orderno,deptdescr
GGDWGY,1,2009-12-18,RT,234,234,CCXCUKRXXXVI,Portable Electronics
HHSSAL,1,2009-12-18,RT,28.5,28.5,CCXCURUXXXVI,Mobile Electronic Accessories
HHSSAL,1,2009-12-18,RT,43.5,43.5,CCXCURUXXXVI,Mobile Electronic Accessories
HHSSAL,1,2009-12-18,RT,27,27,CCXCURUXXXVI,Small Appliances
HHSSAL,1,2009-12-18,RT,31.5,31.5,CCXCURUXXXVI,Mobile Electronic Accessories
HHSSAL,1,2009-12-18,RT,45,45,CCXCURUXXXVI,Small Appliances
DGDSAD,1,2009-12-20,CB,119.85,119.85,CRUVIKIVCRK,Cameras & Camcorder Accessori
DGDSAD,1,2009-12-20,CB,539.85,539.85,CRUVIKIVCRK,Mobile Electronics
DGDSAD,1,2009-12-20,CB,58.5,58.5,CRUVIKIVCRK,Mobile Electronic Accessories
WWGGQHS,1,2009-12-09,IB,119.85,119.85,CRVRINZXIRK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-09,IB,119.85,119.85,CRVRINZXIRK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-09,IB,99,99,CRVRINZXIRK,Mobile Electronic Accessories
WWGGQHS,1,2009-12-09,IB,119.85,119.85,CRVRIVXZEZK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-09,IB,132,132,CRVRIVXZEZK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-09,IB,138,138,CRVRIVXZEZK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-11,IB,132,132,CRVUIECIZVK,Cameras & Camcorder Accessori
WWGGQHS,1,2009-12-11,IB,132,132,CRVUIECIZVK,Cameras & Camcorder Accessori
WYWPQYG,1,2009-12-02,RT,72,72,CCXCEIIXXXNI,Small Appliances
WYSDGLS,1,2009-12-31,RT,48,48,CCXXXZUXXXVX,Small Appliances
WYSDGLS,1,2009-12-31,RT,39,39,CCXXXZUXXXVX,Small Appliances
WYPHLLH,1,2009-12-18,RT,31.5,31.5,CCXVCKXXXXVI,Mobile Electronics
WYPHLLH,1,2009-12-18,RT,59.97,59.97,CCXVCKXXXXVI,Mobile Electronics
WYHYGAY,1,2009-12-19,RT,24,24,CCXURINXXXNC,Small Appliances
WYHYGAY,2,2009-12-19,RT,29.85,59.7,CCXURINXXXNC,Small Appliances
AAAPDSD,1,2009-12-24,RT,59.97,59.97,CCXIIKUXXXRC,Mobile Electronic Accessories
AAAPDSD,1,2009-12-24,RT,37.5,37.5,CCXIIKUXXXRC,Mobile Electronic Accessories
AAAPDSD,1,2009-12-24,RT,43.5,43.5,CCXIIKUXXXRC,Mobile Electronic Accessories
ASSLGYL,1,2009-12-11,RT,18,18,CCXZXEIXXXVI,Mobile Electronic Accessories
AHQWAHP,1,2009-12-06,CB,209.85,209.85,CRVXIECNRKK,Cameras & Camcorder Accessori
AHSWPSY,1,2009-12-07,CB,179.85,179.85,CRVNIRKENZK,Cameras & Camcorder Accessori
AHSWPSY,1,2009-12-07,CB,117,117,CRVNIRKENZK,Small Appliances
AHGQSLS,1,2009-12-23,RT,29.97,29.97,CCXEUXNXXXNX,Small Appliances
SQWSHDP,1,2009-12-04,RT,59.85,59.85,CCXNVXZXXXKI,Portable Electronics
SQWSHDP,1,2009-12-04,RT,89.85,89.85,CCXNVXZXXXKI,Portable Electronics
SQWSHDP,1,2009-12-04,RT,54,54,CCXNVXZXXXKI,Small Appliances
SQLPLLY,1,2009-12-22,RT,48,48,CCXECIZXXXRI,Mobile Electronic Accessories
SSHLLDD,1,2009-12-24,RT,87,87,CCXIEKRXXXRI,Portable Electronics
SSHLLDD,1,2009-12-24,RT,42,42,CCXIEKRXXXRI,Mobile Electronics
SSHLLDD,1,2009-12-24,RT,44.85,44.85,CCXIEKRXXXRI,Small Appliances
SSDPYAA,1,2009-12-03,RT,14.97,14.97,CCXNKRCXXXKI,Mobile Electronic Accessories
SLSGQWY,1,2009-12-15,RT,810,810,CCXNVVZXXXVI,Home Audio
SLSGQWY,1,2009-12-15,RT,59.85,59.85,CCXNVVZXXXVI,Portable Electronics
SLSGQWY,1,2009-12-15,RT,119.85,119.85,CCXNVVZXXXVI,Home Audio
SLSGQWY,1,2009-12-15,RT,28.5,28.5,CCXNVVZXXXVI,Mobile Electronic Accessories
SLSGQWY,1,2009-12-15,RT,38.85,38.85,CCXNVVZXXXVI,Mobile Electronics
SLSGQWY,1,2009-12-15,RT,38.85,38.85,CCXNVVZXXXVI,Mobile Electronics
SLSGQWY,1,2009-12-15,RT,45,45,CCXNVVZXXXVI,Mobile Electronics
SLSGQWY,1,2009-12-15,RT,30,30,CCXNVVZXXXVI,Small Appliances
SLSGQWY,1,2009-12-21,RT,96,96,CCXKNXUXXXVI,Small Appliances
SLSGQWY,1,2009-12-21,RT,89.85,89.85,CCXKNXUXXXVI,Mobile Electronics
SLSGQWY,1,2009-12-21,RT,35.85,35.85,CCXKNXUXXXVI,Small Appliances
SLSGQWY,1,2009-12-21,RT,147,147,CCXKNXUXXXVI,Portable Electronics
SLSGQWY,1,2009-12-21,RT,74.85,74.85,CCXKNXUXXXVI,Small Appliances
SLSGQWY,1,2009-12-21,RT,87,87,CCXKNXUXXXVI,Mobile Electronic Accessories
SLSGQWY,1,2009-12-21,RT,102,102,CCXKNXUXXXVI,Portable Electronics
SLSGQWY,1,2009-12-15,RT,26.85,26.85,CCXRNRVXXXKI,Small Appliances
SLSGQWY,1,2009-12-03,RT,30,30,CCXUUVVXXXRI,Small Appliances
SLSGQWY,1,2009-12-03,RT,30,30,CCXUUVVXXXRI,Small Appliances
SLSGQWY,1,2009-12-03,RT,207,207,CCXUUVVXXXRI,Mobile Electronics
SLSGQWY,1,2009-12-03,RT,207,207,CCXUUVVXXXRI,Mobile Electronics
SLSGQWY,1,2009-12-03,RT,17.97,17.97,CCXUUVVXXXRI,Home Audio
SLSGQWY,1,2009-12-09,RT,31.5,31.5,CCXEXZKXXXRI,Mobile Electronic Accessories
SLSGQWY,1,2009-12-09,RT,58.5,58.5,CCXEXZKXXXRI,Mobile Electronic Accessories
SLSGQWY,1,2009-12-09,RT,63,63,CCXEXZKXXXRI,Small Appliances
SLSGQWY,1,2009-12-19,RT,53.97,53.97,CCXIRXXXXXRI,Mobile Electronics
SLSGQWY,1,2009-12-19,RT,53.97,53.97,CCXIRXXXXXRI,Mobile Electronics
SLSGQWY,1,2009-12-19,RT,54,54,CCXIRXXXXXRI,Small Appliances
SLSGAWG,1,2009-12-21,RT,38.25,38.25,CCXECXEXXXRC,Mobile Electronic Accessories
SLSGAWG,1,2009-12-21,RT,32.85,32.85,CCXECXEXXXRC,Mobile Electronic Accessories
SLSGAWG,1,2009-12-21,RT,42,42,CCXECXEXXXRC,Mobile Electronic Accessories
SLLHSQS,1,2009-12-18,RT,299.85,299.85,CCXINKKXXXKI,Home Audio
SLLHSQS,1,2009-12-18,RT,599.85,599.85,CCXINKKXXXKI,Home Audio
SLLHLGY,1,2009-12-16,RT,73.5,73.5,CCXUKEEXXXRI,Mobile Electronics
SLYDQAL,1,2009-12-13,RT,37.5,37.5,CCXVNERXXXNI,Mobile Electronic Accessories
SLYDQAL,1,2009-12-13,RT,57,57,CCXVNERXXXNI,Mobile Electronics
SLYDQAL,1,2009-12-13,RT,147,147,CCXVNERXXXNI,Home Audio
SLYDQAL,1,2009-12-13,RT,53.85,53.85,CCXVNERXXXNI,Portable Electronics
SLYDQAL,1,2009-12-13,RT,44.85,44.85,CCXVNERXXXNI,Small Appliances
SLYDQAL,1,2009-12-21,RT,749.85,749.85,CCXICERXXXKI,Home Audio
SLYDQAL,1,2009-12-21,RT,60,60,CCXICERXXXKI,Small Appliances
SLDQWSQ,1,2009-12-03,IB,36,36,CRRIIZCVKKK,Small Appliances
SLDQWSQ,1,2009-12-03,IB,449.85,449.85,CRRIIZCVKKK,Home Audio
SLDQWSQ,3,2009-12-03,IB,224.85,674.55,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,239.85,239.85,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,179.85,179.85,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,1,2009-12-03,IB,59.85,59.85,CRRIIZCVKKK,Portable Electronics
SLDQWSQ,1,2009-12-03,IB,149.85,149.85,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,1,2009-12-03,IB,149.85,149.85,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,2,2009-12-03,IB,138,276,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,1,2009-12-03,IB,149.85,149.85,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,2,2009-12-03,IB,67.5,135,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,78,78,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,79.5,79.5,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,2,2009-12-03,IB,138,276,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,2,2009-12-03,IB,144,288,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,147,147,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,48,48,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,66,66,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,87,87,CRRIIZCVKKK,Portable Electronics
SLDQWSQ,2,2009-12-03,IB,28.5,57,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,419.85,419.85,CRRIIZCVKKK,Home Audio
SLDQWSQ,1,2009-12-03,IB,60,60,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,204,204,CRRIIZCVKKK,Small Appliances
SLDQWSQ,2,2009-12-03,IB,27,54,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,2,2009-12-03,IB,54,108,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,132,132,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,1,2009-12-03,IB,749.85,749.85,CRRIIZCVKKK,Home Audio
SLDQWSQ,1,2009-12-03,IB,60,60,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,2,2009-12-03,IB,28.5,57,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,86.85,86.85,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,135,135,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,1,2009-12-03,IB,216,216,CRRIIZCVKKK,Cameras & Camcorder Accessori
SLDQWSQ,1,2009-12-03,IB,66,66,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-03,IB,36,36,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,2,2009-12-03,IB,44.85,89.7,CRRIIZCVKKK,Small Appliances
SLDQWSQ,2,2009-12-03,IB,36,72,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,2,2009-12-03,IB,36,72,CRRIIZCVKKK,Mobile Electronic Accessories
SLDQWSQ,4,2009-12-03,IB,84,336,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,3,2009-12-03,IB,96,288,CRRIIZCVKKK,Mobile Electronics
SLDQWSQ,1,2009-12-18,IB,1199.9,1199.85,CRUKIENXZKK,Home Audio
SLDQASD,1,2009-12-10,RT,102,102,CCXKNUUXXXKI,Mobile Electronic Accessories
SLDQASD,1,2009-12-10,RT,30,30,CCXKNUUXXXKI,Mobile Electronic Accessories
SLDQASD,1,2009-12-10,RT,129,129,CCXKNUUXXXKI,Small Appliances
SLDQASD,1,2009-12-10,RT,129,129,CCXKNUUXXXKI,Small Appliances
SLDQHWY,4,2009-12-30,IB,17.97,71.88,CREVIXUXIVK,Mobile Electronics
SLDQHWY,1,2009-12-30,RT,14.97,14.97,CCXNZNNXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-30,RT,59.97,59.97,CCXNZNNXXXVI,Mobile Electronic Accessories
SLDQHWY,1,2009-12-30,RT,29.97,29.97,CCXNZNNXXXVI,Mobile Electronic Accessories
SLDQHWY,1,2009-12-28,RT,38.97,38.97,CCXZZXIXXXKI,Mobile Electronics
SLDQHWY,1,2009-12-28,RT,59.97,59.97,CCXZZXIXXXKI,Mobile Electronic Accessories
SLDQHWY,1,2009-12-18,RT,38.85,38.85,CCXCVVCXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-18,RT,38.85,38.85,CCXCVVCXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-18,RT,31.5,31.5,CCXCVVCXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-18,RT,53.97,53.97,CCXCVVCXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-18,RT,54,54,CCXCVVCXXXVI,Mobile Electronics
SLDQHWY,1,2009-12-18,RT,45,45,CCXCVVCXXXVI,Mobile Electronics
SLDQDHS,1,2009-12-14,CB,126,126,CRVZIINRNIK,Cameras & Camcorder Accessori
SLDQDHS,1,2009-12-14,CB,119.85,119.85,CRVZIINRNIK,Cameras & Camcorder Accessori
